Peak class,Chromosome,Start,End,Length,"Enrichment (Input/IP, Log2)",FDR,Peak position,Gene
PeakBoth,Chr3,8141776,8141876,100,-4.0669627764,3.39E-48,StopCodon,PKP1
PeakStart,Chr3,8181601,8181751,150,-3.1635672114,1.05E-27,StartCodon,IAA2
PeakStop,Chr3,8207251,8207501,250,-3.8124290071,1.59E-07,StopCodon,ATCFM3A
PeakStop,Chr3,8312909,8313001,92,-3.7300435313,3.64E-06,StopCodon,AT3G23255
PeakStop,Chr3,8324101,8324201,100,-3.6626725895,2.54E-23,StopCodon,XBAT35
PeakStop,Chr3,8328001,8328101,100,-2.8296583586,3.12E-05,StopCodon,LSH4
PeakStop,Chr3,8335901,8336026,125,-3.0414603971,2.80E-07,StopCodon,AT3G23300
PeakStop,Chr3,8346826,8346926,100,-3.225468439,1.22E-07,StopCodon,AT3G23325
PeakBoth,Chr3,8376541,8376676,135,-4.0462772765,5.21E-58,StopCodon,FIB4
PeakBoth,Chr3,8378101,8378226,125,-3.3219106764,5.82E-68,StartCodon,FIB4
PeakStop,Chr3,8448001,8448126,125,-4.0746495542,2.99E-14,StopCodon,AT3G23540
PeakStop,Chr3,8475601,8475726,125,-3.3532025421,2.24E-87,StopCodon,AT3G23600
PeakStop,Chr3,8513627,8513726,99,-4.8746866922,7.63E-08,StopCodon,AT3G23660
PeakBoth,Chr3,8531549,8531751,202,-4.3245619886,9.45E-29,StopCodon,AT3G23700
PeakBoth,Chr3,8533501,8533701,200,-4.0675848138,9.89E-24,StartCodon,AT3G23700
PeakStart,Chr3,8603776,8603976,200,-3.5520145004,3.38E-41,StartCodon,GAE6
PeakStop,Chr3,8606645,8606726,81,-5.0955878126,3.32E-08,StopCodon,GR-RBP4
PeakBoth,Chr3,8648775,8648926,151,-4.4445229083,1.67E-06,StartCodon,AT3G23940
PeakBoth,Chr3,8652272,8652501,229,-3.9233225848,1.89E-10,StopCodon,AT3G23940
PeakStop,Chr3,8662601,8662701,100,-4.6560147801,3.34E-10,3pUTR,BLI
PeakStart,Chr3,8683051,8683151,100,-3.177296449,6.95E-11,StartCodon,AT3G24040
PeakMid,Chr3,8696101,8696276,175,-2.7931525039,6.16E-08,CDS,AT3G24080
PeakStop,Chr3,8705844,8705951,107,-5.0448510782,6.94E-14,StopCodon,AT3G24120
PeakStop,Chr3,8729101,8729301,200,-4.591219424,7.55E-50,3pUTR,PMP
PeakStop,Chr3,8729669,8729776,107,-3.7087052189,2.54E-05,StopCodon,ATGR1
PeakStop,Chr3,8820560,8820626,66,-4.2939118849,4.79E-09,StopCodon,AtSec20
PeakMid,Chr3,8901308,8901401,93,-3.4551701912,2.58E-07,CDS,AT3G24480
PeakStop,Chr3,8919653,8919776,123,-2.970349611,3.25E-09,StopCodon,ALDH2C4
PeakStart,Chr3,8960447,8960801,354,-5.1134134331,1.87E-12,StartCodon,PERK1
PeakStop,Chr3,8966664,8966751,87,-4.2669920966,1.71E-21,StopCodon,AT3G24570
PeakStop,Chr3,8971976,8972151,175,-4.0436084239,6.65E-32,StopCodon,PLSP1
PeakStop,Chr3,9006031,9006101,70,-4.033856858,6.44E-11,3pUTR,AT3G24670
PeakMid,Chr3,9040391,9040501,110,-4.1876693961,1.31E-07,CDS,AT3G24760
PeakStop,Chr3,9074766,9074876,110,-3.9985623509,9.44E-09,3pUTR,AT3G24870
PeakStop,Chr3,9126076,9126276,200,-4.4687371239,5.15E-10,StopCodon,ERD2B
PeakStop,Chr3,9184426,9184576,150,-3.7277891035,3.29E-20,StopCodon,FKBP15-1
PeakStart,Chr3,9236401,9236576,175,-4.3023687199,7.80E-05,StartCodon,AT3G25480
PeakMid,Chr3,9250384,9250501,117,-3.3665498571,0.0001305427,NA,NA
PeakStart,Chr3,9254526,9254776,250,-3.750979595,6.67E-05,StartCodon,AFH1
PeakStop,Chr3,9269432,9269576,144,-4.9529839782,1.45E-35,StopCodon,ATL5
PeakStop,Chr3,9271859,9271951,92,-4.2362927604,7.36E-05,StopCodon,GHBDH
PeakStart,Chr3,9277701,9277776,75,-2.3186669927,2.60E-05,StartCodon,AT3G25545
PeakStart,Chr3,9307376,9307451,75,-2.7871841609,2.16E-06,StartCodon,AT3G25600
PeakStop,Chr3,9339526,9339626,100,-5.375528405,1.40E-18,StopCodon,AT3G25660
PeakBoth,Chr3,9452768,9452901,133,-4.4046457948,2.31E-05,3pUTR,AT3G25840
PeakBoth,Chr3,9456001,9456376,375,-3.2497460107,2.44E-07,StartCodon,AT3G25840
PeakStop,Chr3,9462726,9462826,100,-3.1023391198,0.0021561503,3pUTR,LTA2
PeakStop,Chr3,9491163,9491251,88,-2.8674727006,2.31E-05,StopCodon,RPL15
PeakBoth,Chr3,9524801,9524976,175,-4.0885356814,8.13E-07,StartCodon,ATPRX Q
PeakBoth,Chr3,9526182,9526301,119,-3.7526915373,4.95E-07,3pUTR,ATPRX Q
PeakStop,Chr3,9528226,9528326,100,-2.7375512768,1.40E-34,StopCodon,AT3G26070
PeakStop,Chr3,9540151,9540276,125,-3.9985954904,5.55E-34,StopCodon,AT3G26100
PeakStop,Chr3,9650476,9650576,100,-2.9474412891,7.28E-13,StopCodon,AT3G26340
PeakStop,Chr3,9655658,9655751,93,-4.8047799924,3.43E-21,3pUTR,AT3G26360
PeakStop,Chr3,9663076,9663201,125,-4.3990043564,1.31E-24,StopCodon,AT3G26380
PeakStart,Chr3,9673176,9673426,250,-3.3303250208,1.94E-10,5pUTR,AT3G26430
PeakStart,Chr3,9712476,9712626,150,-3.3976029522,4.04E-23,StartCodon,AT3G26510
PeakMid,Chr3,9753051,9753376,325,-2.4610738734,0.0001484731,CDS,AT3G26560
PeakStart,Chr3,9756226,9756326,100,-3.6479753292,3.15E-05,StartCodon,PHT2
PeakStart,Chr3,9756451,9756601,150,-2.8555026768,2.27E-07,StartCodon,PHT2
PeakMid,Chr3,9759276,9759401,125,-2.6360384006,8.09E-11,CDS,AT3G26580
PeakStop,Chr3,9798118,9798201,83,-2.3850973974,0.001465283,StopCodon,AT3G26670
PeakStop,Chr3,9814576,9814651,75,-3.2386598331,5.91E-12,StopCodon,CCB1
PeakStop,Chr3,9822926,9823051,125,-4.8911259502,2.58E-13,StopCodon,AT3G26720
PeakBoth,Chr3,9823776,9823926,150,-4.4618597204,6.42E-08,StartCodon,AT3G26730
PeakBoth,Chr3,9827176,9827351,175,-3.7690847138,1.39E-37,StopCodon,AT3G26730
PeakStart,Chr3,9827951,9828026,75,-2.827241715,7.52E-120,StartCodon,CCL
PeakStop,Chr3,9850176,9850401,225,-4.2496021548,2.33E-06,StopCodon,AT3G26780
PeakMid,Chr3,9916001,9916126,125,-2.8290123198,1.80E-06,CDS,AT3G26910
PeakMid,Chr3,9930851,9930976,125,-3.1819781309,1.96E-05,CDS,DRB3
PeakMul,Chr3,9932723,9932826,103,-4.3859889139,3.02E-06,3pUTR,AT3G26935
PeakMul,Chr3,9933401,9933501,100,-2.3556274291,0.000680064,CDS,AT3G26935
PeakStop,Chr3,9941158,9941251,93,-4.8663903951,9.22E-39,StopCodon,AT3G26950
PeakStop,Chr3,9946359,9946476,117,-3.8622613378,3.79E-10,StopCodon,MUB4
PeakMid,Chr3,9948601,9948826,225,-3.5432937571,2.33E-06,CDS,AT3G26990
PeakStop,Chr3,9961426,9961476,50,-3.3975286745,1.03E-06,3pUTR,YSL6
PeakMul,Chr3,9978278,9978351,73,-5.9637279983,1.64E-16,StopCodon,AT3G27050
PeakMul,Chr3,9978598,9978676,78,-3.6479718877,1.92E-12,CDS,AT3G27050
PeakMul,Chr3,9978742,9978826,84,-4.1197350373,1.66E-19,CDS,AT3G27050
PeakStop,Chr3,9991451,9991776,325,-3.6485731021,8.39E-54,StopCodon,AT3G27090
PeakStop,Chr3,10000030,10000201,171,-3.9422388625,8.61E-30,StopCodon,AT3G27120
PeakStop,Chr3,10018776,10019001,225,-3.3691530757,3.27E-27,StopCodon,GHS1
PeakStop,Chr3,10078276,10078426,150,-3.5346687138,1.19E-09,3pUTR,ATPHB4
PeakStop,Chr3,10087222,10087376,154,-4.4382879941,3.68E-23,StopCodon,PUX1
PeakStop,Chr3,10102051,10102151,100,-3.5270010818,5.48E-23,StopCodon,AT3G27325
PeakStop,Chr3,10131048,10131201,153,-3.0374007753,4.05E-05,StopCodon,SDH2-1
PeakBoth,Chr3,10281419,10281526,107,-3.642063383,0.000970611,StopCodon,CARA
PeakBoth,Chr3,10283689,10283776,87,-2.7679310589,0.0005888322,StartCodon,CARA
PeakMid,Chr3,10284976,10285076,100,-2.5559623357,0.0001267715,CDS,AT3G27750
PeakStop,Chr3,10285693,10285826,133,-5.0301978566,0,StopCodon,AT3G27770
PeakStop,Chr3,10317876,10318076,200,-3.7740752419,2.00E-63,StopCodon,ATMDAR4
PeakStart,Chr3,10318536,10318726,190,-4.1420325046,3.23E-77,StartCodon,RPL12-A
PeakStart,Chr3,10324883,10325201,318,-3.6140208468,5.34E-07,StartCodon,RPL12-C
PeakStop,Chr3,10350755,10350851,96,-4.1853782726,7.25E-09,StopCodon,NQR
PeakStop,Chr3,10366508,10366676,168,-4.2184418048,4.79E-05,StopCodon,DEGP1
PeakStop,Chr3,10380412,10380526,114,-3.7137332065,3.21E-10,StopCodon,AT3G27960
PeakMul,Chr3,10506099,10506226,127,-3.9313544888,1.23E-12,StartCodon,ATCSLC04
PeakMul,Chr3,10508476,10508601,125,-3.4848270119,4.33E-18,CDS,ATCSLC04
PeakStart,Chr3,10518126,10518351,225,-3.3280972343,4.10E-10,StartCodon,AT3G28200
PeakStop,Chr3,10676188,10676326,138,-3.9041517319,5.21E-14,StopCodon,AT3G28480
PeakMid,Chr3,10695376,10695501,125,-3.1011464188,1.14E-23,CDS,AT3G28540
PeakStop,Chr3,10717001,10717201,200,-3.2455714028,2.91E-08,StopCodon,AT3G28580
PeakMid,Chr3,10746301,10746401,100,-3.3867724189,0.000261028,CDS,AT3G28670
PeakStop,Chr3,10772961,10773076,115,-3.4120787612,8.75E-12,3pUTR,AT3G28710
PeakStop,Chr3,10780376,10780526,150,-3.4890587098,5.79E-10,StopCodon,AT3G28715
PeakMid,Chr3,10782484,10782626,142,-3.541577505,1.46E-06,CDS,AT3G28720
PeakStop,Chr3,10793113,10793226,113,-5.1221104121,7.61E-17,StopCodon,AT3G28760
PeakStop,Chr3,10902776,10902876,100,-3.1002668138,1.97E-14,StopCodon,AT3G28900
PeakMid,Chr3,10941076,10941201,125,-3.264437696,6.83E-12,CDS,AtHB34
PeakStop,Chr3,10976180,10976376,196,-4.0900568435,1.26E-05,StopCodon,AT3G28950
PeakStop,Chr3,11128810,11128901,91,-2.4078326382,0.0003809247,StopCodon,ATKIN11
PeakStop,Chr3,11240078,11240176,98,-2.7779553571,8.54E-05,StopCodon,emb2076
PeakStop,Chr3,11257601,11257801,200,-4.0311414967,3.15E-55,StopCodon,AT3G29320
PeakStop,Chr3,11267270,11267351,81,-2.687123466,4.18E-05,StopCodon,AT3G29360
PeakStop,Chr3,11976251,11976426,175,-2.6461799483,1.15E-06,StopCodon,AT3G30380
PeakStop,Chr3,13490626,13490851,225,-3.6215209096,5.51E-22,StopCodon,AT3G32930
PeakBoth,Chr3,14085422,14085576,154,-3.4434774862,0.0004536364,StartCodon,AT3G33530
PeakBoth,Chr3,14093401,14093501,100,-3.1755325098,2.77E-07,StopCodon,AT3G33530
PeakStart,Chr3,14095151,14095326,175,-3.7240027995,1.70E-05,StartCodon,ARP6
PeakStop,Chr3,14228676,14228876,200,-5.1921963465,1.12E-06,StopCodon,AT3G42050
PeakStop,Chr3,14311401,14311476,75,-3.931426678,3.51E-12,StopCodon,AT3G42150
PeakStop,Chr3,14878032,14878176,144,-4.1481669761,2.57E-06,StopCodon,AL3
PeakStop,Chr3,15017801,15017901,100,-2.7175675824,0.0001470247,StopCodon,AT3G42950
PeakStop,Chr3,15209576,15209651,75,-3.3093973575,5.74E-24,StopCodon,AT3G43230
PeakStop,Chr3,15209988,15210076,88,-4.657619848,5.24E-09,StopCodon,AT3G43240
PeakBoth,Chr3,15406076,15406176,100,-3.4328546409,7.24E-08,StartCodon,AT3G43520
PeakBoth,Chr3,15407701,15407851,150,-3.7788519987,5.09E-09,StopCodon,AT3G43520
PeakMid,Chr3,15511776,15511926,150,-2.9809540963,1.92E-10,CDS,AT3G43590
PeakStop,Chr3,15664554,15664626,72,-3.4699370211,3.93E-10,StopCodon,CAM7
PeakStop,Chr3,15968751,15968851,100,-4.0803452376,0.0005055479,StopCodon,AT3G44280
PeakStop,Chr3,16010701,16010826,125,-4.3382463603,5.19E-10,StopCodon,AT3G44330
PeakStop,Chr3,16195367,16195451,84,-3.6257917341,2.60E-07,StopCodon,AT3G44620
PeakStop,Chr3,16226685,16226801,116,-5.4704325811,1.50E-32,StopCodon,HDA09
PeakStop,Chr3,16388251,16388376,125,-4.4913323179,8.69E-74,3pUTR,RPL9
PeakStop,Chr3,16471551,16471626,75,-3.3979570426,1.37E-08,StopCodon,AT3G45030
PeakStop,Chr3,16472755,16472851,96,-5.2820372038,2.27E-45,StopCodon,AT3G45040
PeakStop,Chr3,16507051,16507201,150,-4.2688288158,2.32E-05,3pUTR,SETH2
PeakMid,Chr3,16526299,16526376,77,-2.9586052277,2.71E-05,CDS,LOX2
PeakStop,Chr3,16541810,16541901,91,-4.5045917205,3.62E-20,3pUTR,AT3G45190
PeakStop,Chr3,16570626,16570726,100,-3.6590721491,0.0003270058,StopCodon,CPuORF61
PeakStop,Chr3,16621581,16621701,120,-4.4289145422,2.72E-08,StopCodon,IVD
PeakStop,Chr3,16748216,16748351,135,-3.6981987041,8.26E-07,3pUTR,AT3G45630
PeakStart,Chr3,16897801,16898001,200,-3.7009007506,4.93E-56,StartCodon,H2B
PeakStop,Chr3,16919701,16919851,150,-3.3125958918,1.30E-10,StopCodon,RAB8A
PeakStop,Chr3,16928379,16928501,122,-4.6884986677,1.71E-09,StopCodon,ATHRS1
PeakMid,Chr3,17093526,17093626,100,-2.7953660069,2.82E-07,CDS,AT3G46450
PeakStop,Chr3,17123834,17124051,217,-3.8713745355,4.94E-22,3pUTR,PUB13
PeakMul,Chr3,17137126,17137226,100,-3.5724094777,1.11E-26,CDS,SOS5
PeakMul,Chr3,17137576,17137851,275,-3.5363252586,2.62E-12,StartCodon,SOS5
PeakStop,Chr3,17181087,17181226,139,-4.053035229,0.0008005545,StopCodon,AT3G46630
PeakStop,Chr3,17231026,17231151,125,-3.5474319702,1.09E-39,StopCodon,PTAC16
PeakStop,Chr3,17246595,17246701,106,-3.5724721091,8.02E-13,StopCodon,ATRAB11A
PeakStop,Chr3,17337107,17337201,94,-3.3509225377,1.92E-20,StopCodon,AT3G47070
PeakStop,Chr3,17360126,17360226,100,-3.5544899868,0.0010113747,StopCodon,AT3G47160
PeakStop,Chr3,17423376,17423551,175,-4.092605767,2.10E-06,StopCodon,ATPLC8
PeakStart,Chr3,17429451,17429551,100,-3.1465177803,4.48E-05,StartCodon,SELT
PeakStop,Chr3,17453538,17453651,113,-2.4539154645,6.32E-07,StopCodon,AT3G47370
PeakStop,Chr3,17525324,17525401,77,-3.74804615,3.43E-05,StopCodon,AT3G47550
PeakStop,Chr3,17525576,17525676,100,-3.1885725317,0.0001240008,StopCodon,AT3G47560
PeakStop,Chr3,17550976,17551251,275,-2.8483017654,1.94E-10,StopCodon,AT3G47610
PeakStart,Chr3,17559126,17559251,125,-3.246046829,5.90E-18,StartCodon,TCP14
PeakStop,Chr3,17563248,17563351,103,-4.8846633405,0.0001460823,StopCodon,AT3G47630
PeakStop,Chr3,17570301,17570401,100,-3.9724337008,1.45E-23,StopCodon,AT3G47650
PeakStart,Chr3,17575526,17575751,225,-3.7101757318,1.39E-12,StartCodon,AT3G47670
PeakStop,Chr3,17594303,17594376,73,-3.68111726,6.31E-09,StopCodon,ATH1
PeakStop,Chr3,17649826,17649976,150,-3.5215690959,6.96E-09,StopCodon,AT3G47833
PeakStop,Chr3,17654258,17654301,43,-3.8874706817,2.09E-10,StopCodon,AT3G47850
PeakStop,Chr3,17667127,17667226,99,-4.0793239815,2.42E-13,StopCodon,AT3G47890
PeakStop,Chr3,17717001,17717126,125,-3.2142543019,6.74E-15,StopCodon,ALDH2B4
PeakStop,Chr3,17733802,17733951,149,-3.6808416244,0.0001034674,3pUTR,AT3G48050
PeakStop,Chr3,17743164,17743276,112,-4.1950926859,1.90E-09,StopCodon,AT3G48060
PeakBoth,Chr3,17763140,17763251,111,-3.9967744271,2.24E-08,StartCodon,EDD1
PeakBoth,Chr3,17770865,17771001,136,-4.241547264,9.53E-17,StopCodon,EDD1
PeakMid,Chr3,17772426,17772626,200,-3.1196830865,4.26E-05,CDS,AT3G48120
PeakStop,Chr3,17779276,17779401,125,-2.3818906999,7.35E-72,StopCodon,AT3G48140
PeakStop,Chr3,17786227,17786351,124,-4.8509971949,9.16E-20,StopCodon,ALDH10A9
PeakStop,Chr3,17828351,17828451,100,-5.4707634987,4.42E-15,StopCodon,ATM
PeakStop,Chr3,17919985,17920126,141,-3.7841257301,5.80E-08,StopCodon,AT3G48380
PeakStop,Chr3,17931501,17931626,125,-2.9729935529,1.10E-11,StopCodon,AT3G48420
PeakStart,Chr3,17949521,17949601,80,-2.9132463197,0.001400828,StartCodon,AT3G48460
PeakStop,Chr3,17965276,17965401,125,-3.7305935372,2.92E-12,StopCodon,PTAC10
PeakStart,Chr3,17994051,17994151,100,-3.7604735776,2.60E-06,StartCodon,AT3G48550
PeakBoth,Chr3,18001395,18001501,106,-4.3860922917,2.68E-18,StopCodon,CSR1
PeakBoth,Chr3,18003251,18003526,275,-4.4742169563,8.62E-42,StartCodon,CSR1
PeakMul,Chr3,18043103,18043201,98,-3.1546602053,2.25E-07,CDS,AT3G48710
PeakMul,Chr3,18043351,18043451,100,-3.5521360699,1.64E-09,CDS,AT3G48710
PeakMul,Chr3,18043863,18043976,113,-2.80841667,0.0023600525,StopCodon,AT3G48710
PeakStop,Chr3,18078051,18078176,125,-3.4054996577,1.61E-08,StopCodon,AT3G48760
PeakMid,Chr3,18091626,18091726,100,-2.4140175636,1.42E-11,CDS,ATSPT1
PeakStop,Chr3,18140968,18141076,108,-3.3832107848,8.05E-08,StopCodon,EMB1080
PeakStop,Chr3,18166837,18166976,139,-5.013178029,1.63E-09,StopCodon,ATBBC1
PeakStop,Chr3,18187341,18187451,110,-4.8656788186,1.64E-21,StopCodon,AT3G49060
PeakStart,Chr3,18249826,18249951,125,-3.1613804109,7.09E-11,StartCodon,AT3G49220
PeakStop,Chr3,18314739,18314851,112,-4.9307517189,1.36E-13,StopCodon,CID10
PeakMid,Chr3,18334226,18334351,125,-3.0704347013,8.02E-14,CDS,At-SR34a
PeakStop,Chr3,18344834,18344951,117,-3.9914451569,5.69E-20,StopCodon,AT3G49490
PeakBoth,Chr3,18370587,18370701,114,-4.0171537571,1.07E-24,StartCodon,AT3G49560
PeakBoth,Chr3,18371826,18371926,100,-3.8238081035,4.82E-26,StopCodon,AT3G49560
PeakStop,Chr3,18380076,18380176,100,-3.1495560285,1.10E-06,StopCodon,AT3G49590
PeakStop,Chr3,18387551,18387851,300,-3.1144852443,2.26E-05,StopCodon,AT3G49601
PeakStart,Chr3,18417776,18417851,75,-3.4416278747,0.0014174591,StartCodon,BAM2
PeakStop,Chr3,18425476,18425576,100,-2.9619358804,3.38E-07,StopCodon,BCAT3
PeakStop,Chr3,18471753,18471851,98,-3.8468905104,0.0001460823,3pUTR,AT3G49800
PeakStop,Chr3,18504767,18504876,109,-4.5825605441,5.49E-10,StopCodon,AT3G49910
PeakStop,Chr3,18532438,18532551,113,-2.5310317093,5.83E-05,StopCodon,AT3G49990
PeakStop,Chr3,18675451,18675576,125,-4.5005013405,4.50E-32,StopCodon,CEN2
PeakMul,Chr3,18676158,18676226,68,-4.5435677284,7.32E-10,3pUTR,AT3G50370
PeakMul,Chr3,18676451,18676551,100,-3.1153810929,0.0003347726,StopCodon,AT3G50370
PeakStart,Chr3,18807976,18808126,150,-3.8921838472,1.82E-11,StartCodon,AT3G50650
PeakStop,Chr3,18826448,18826551,103,-4.3418551108,2.74E-20,StopCodon,U1-70K
PeakStart,Chr3,18862976,18863076,100,-2.4152743569,6.09E-08,StartCodon,BEH1
PeakStop,Chr3,18880012,18880126,114,-3.2742001846,2.17E-06,StopCodon,AT3G50790
PeakStop,Chr3,18893974,18894151,177,-3.9549401966,2.13E-06,StopCodon,COR413-PM2
PeakStop,Chr3,18903951,18904176,225,-4.6998388878,6.60E-08,StopCodon,AT3G50860
PeakStop,Chr3,18921976,18922151,175,-3.4247313761,7.30E-06,StopCodon,AT3G50910
PeakStop,Chr3,18938676,18938751,75,-2.7630646528,1.40E-07,StopCodon,ZAR1
PeakStop,Chr3,18945177,18945276,99,-2.9768846692,7.79E-05,StopCodon,AT3G51000
PeakStop,Chr3,18946871,18946951,80,-3.0021332643,2.87E-05,StopCodon,AT3G51010
PeakStop,Chr3,18952231,18952326,95,-3.6642697408,6.45E-05,StopCodon,RTH
PeakStop,Chr3,18980467,18980601,134,-3.8626691092,1.31E-19,StopCodon,AT3G51100
PeakStop,Chr3,18986061,18986151,90,-3.2975765738,0.0002220899,StopCodon,AT3G51120
PeakStop,Chr3,18997347,18997476,129,-4.6540284046,2.29E-20,3pUTR,AT3G51130
PeakStop,Chr3,19032751,19032876,125,-3.3849709988,2.40E-51,StopCodon,PAD1
PeakStop,Chr3,19036776,19036851,75,-2.4531568372,2.28E-11,StopCodon,AT3G51270
PeakStop,Chr3,19044604,19044676,72,-3.2276543067,0.0001084287,StopCodon,VPS35C
PeakStop,Chr3,19053454,19053626,172,-3.684700146,6.02E-05,StopCodon,AT3G51330
PeakStart,Chr3,19084104,19084226,122,-4.0927724265,8.74E-07,StartCodon,SSL4
PeakStart,Chr3,19089157,19089251,94,-3.54516431,7.74E-06,StartCodon,AT3G51440
PeakStop,Chr3,19097076,19097326,250,-4.8865938866,1.21E-16,StopCodon,RHD4
PeakStop,Chr3,19109826,19109951,125,-3.0394256551,3.77E-22,StopCodon,AT3G51510
PeakStop,Chr3,19139652,19139751,99,-4.5622013357,2.60E-06,StopCodon,AT3G51610
PeakStop,Chr3,19151876,19151976,100,-3.5422594844,0.0004247045,StopCodon,CPuORF44
PeakMid,Chr3,19155101,19155301,200,-3.2470496681,1.71E-09,CDS,AT3G51640
PeakMul,Chr3,19160276,19160476,200,-3.1487941209,5.32E-08,CDS,AT3G51650
PeakMul,Chr3,19162226,19162351,125,-4.088520349,2.46E-06,StopCodon,AT3G51650
PeakStop,Chr3,19188451,19188626,175,-5.2147502835,2.14E-54,StopCodon,AT3G51730
PeakStop,Chr3,19206942,19207101,159,-3.5218976703,1.80E-05,StopCodon,BAG4
PeakBoth,Chr3,19216113,19216226,113,-4.4424133153,3.66E-10,3pUTR,ATG4
PeakBoth,Chr3,19218926,19219026,100,-2.3387885238,5.68E-10,StartCodon,ATG4
PeakStop,Chr3,19225051,19225201,150,-5.2304607049,0.0010025463,StopCodon,ATG5
PeakStop,Chr3,19225415,19225651,236,-4.7432640662,2.12E-22,StopCodon,ATSCX
PeakStop,Chr3,19246551,19246676,125,-4.3969625673,5.50E-29,StopCodon,AT3G51870
PeakMul,Chr3,19247108,19247351,243,-3.1883915485,3.34E-07,StopCodon,NFD1
PeakMul,Chr3,19247435,19247526,91,-3.4338954035,1.44E-17,CDS,NFD1
PeakStop,Chr3,19277948,19278101,153,-3.3554411407,1.73E-07,3pUTR,AT3G51950
PeakStop,Chr3,19304151,19304276,125,-3.3278054072,0.000329316,StopCodon,AT3G52030
PeakMul,Chr3,19311501,19311626,125,-3.4247313186,1.01E-11,CDS,AT3G52060
PeakMul,Chr3,19311726,19311976,250,-3.629016939,5.19E-12,StartCodon,AT3G52060
PeakStop,Chr3,19317934,19318051,117,-4.1850562588,9.42E-20,StopCodon,NRPD11
PeakStop,Chr3,19341326,19341551,225,-4.4084865344,0.0001414547,StopCodon,AT3G52140
PeakStop,Chr3,19343216,19343326,110,-3.3237937128,0.0001584642,3pUTR,AT3G52150
PeakStart,Chr3,19343776,19343876,100,-2.9320209999,1.85E-15,StartCodon,AT3G52155
PeakStop,Chr3,19349786,19349951,165,-4.389297629,2.27E-28,StopCodon,SEX4
PeakStop,Chr3,19354066,19354176,110,-4.3122832197,8.74E-07,StopCodon,PHF1
PeakStop,Chr3,19366051,19366301,250,-4.0736307138,6.35E-17,StopCodon,LTA3
PeakStop,Chr3,19369276,19369526,250,-3.3690392084,5.56E-07,StopCodon,AT3G52210
PeakStop,Chr3,19372351,19372476,125,-3.8228267606,2.21E-16,StopCodon,AT3G52230
PeakStop,Chr3,19372781,19372901,120,-2.8986999408,1.04E-05,StopCodon,AT3G52240
PeakStop,Chr3,19389042,19389176,134,-3.5552366626,1.28E-08,StopCodon,GTE6
PeakStop,Chr3,19398076,19398226,150,-4.6135838711,2.57E-13,StopCodon,ATPQ
PeakStop,Chr3,19409126,19409276,150,-3.5719100377,1.62E-07,StopCodon,ATSPP2
PeakStart,Chr3,19421603,19421776,173,-4.2894972865,7.80E-06,StartCodon,CP33
PeakStart,Chr3,19450826,19450976,150,-2.7273963954,7.24E-14,StartCodon,AT3G52470
PeakStop,Chr3,19502726,19502876,150,-3.2222664894,0.0004393397,StopCodon,AT3G52570
PeakStop,Chr3,19506676,19506801,125,-3.8613358284,3.83E-41,StopCodon,UBQ1
PeakStop,Chr3,19524701,19524801,100,-4.4991982177,1.52E-15,StopCodon,AT3G52660
PeakStop,Chr3,19543061,19543151,90,-4.2080165931,1.22E-06,StopCodon,AT3G52730
PeakStop,Chr3,19601327,19601526,199,-5.0256835122,3.72E-09,StopCodon,ATMDAR1
PeakStart,Chr3,19639692,19639876,184,-3.9562559784,7.50E-35,StartCodon,AT3G52960
PeakStop,Chr3,19652251,19652351,100,-3.729648474,1.74E-08,StopCodon,AT3G52990
PeakStop,Chr3,19660605,19660776,171,-4.382740523,2.76E-16,StopCodon,RPL24
PeakStop,Chr3,19690481,19690601,120,-4.3670674479,8.19E-05,3pUTR,LOS4
PeakStop,Chr3,19695251,19695376,125,-4.1120476211,3.86E-16,StopCodon,CYP97C1
PeakStop,Chr3,19711201,19711276,75,-2.7058568708,1.43E-18,StopCodon,AT3G53180
PeakMid,Chr3,19745826,19745926,100,-2.5450176719,1.10E-06,CDS,PAL2
PeakStop,Chr3,19774501,19774626,125,-3.2434256314,0.0008836888,StopCodon,NF-YB10
PeakStop,Chr3,19796226,19796326,100,-3.8216926342,2.85E-11,StopCodon,AT3G53390
PeakStop,Chr3,19801055,19801176,121,-4.0699144898,1.42E-18,StopCodon,AT3G53410
PeakMid,Chr3,19811601,19811651,50,-2.4042835568,0.0059360067,CDS,AT3G53440
PeakStart,Chr3,19821251,19821476,225,-4.3796125747,5.32E-71,StartCodon,CP29
PeakStop,Chr3,19834001,19834151,150,-3.3418711197,7.27E-07,StopCodon,AT3G53490
PeakStop,Chr3,19834405,19834601,196,-5.0773569501,2.92E-40,StopCodon,At-RS2Z
PeakStart,Chr3,19860776,19860976,200,-3.6186788385,1.18E-09,StartCodon,AT3G53560
PeakStop,Chr3,19861470,19861576,106,-3.7398972345,2.55E-05,StopCodon,AME2
PeakStop,Chr3,19866851,19867076,225,-5.69709707,1.81E-30,StopCodon,AT3G53580
PeakStop,Chr3,19876350,19876501,151,-3.5575725264,1.92E-05,StopCodon,RAB8
PeakStop,Chr3,19913790,19913926,136,-3.932359991,9.34E-19,StopCodon,AT3G53740
PeakStop,Chr3,19917376,19917501,125,-3.2092309045,7.03E-28,StopCodon,ACT3
PeakStop,Chr3,19924634,19924801,167,-3.2576405166,5.03E-10,StopCodon,ATRBL4
